% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
% 
% 3. Past Usage:
%    - Publications: too many to mention!!!  Here are a few.
%    1. Fisher,R.A. "The use of multiple measurements in taxonomic problems"
%       Annual Eugenics, 7, Part II, 179-188 (1936); also in "Contributions
%       to Mathematical Statistics" (John Wiley, NY, 1950).
%    2. Duda,R.O., & Hart,P.E. (1973) Pattern Classification and Scene Analysis.
%       (Q327.D83) John Wiley & Sons.  ISBN 0-471-22361-1.  See page 218.
%    3. Dasarathy, B.V. (1980) "Nosing Around the Neighborhood: A New System
%       Structure and Classification Rule for Recognition in Partially Exposed
%       Environments".  IEEE Transactions on Pattern Analysis and Machine
%       Intelligence, Vol. PAMI-2, No. 1, 67-71.
%       -- Results:
%          -- very low misclassification rates (0% for the setosa class)
%    4. Gates, G.W. (1972) "The Reduced Nearest Neighbor Rule".  IEEE 
%       Transactions on Information Theory, May 1972, 431-433.
%       -- Results:
%          -- very low misclassification rates again
%    5. See also: 1988 MLC Proceedings, 54-64.  Cheeseman et al's AUTOCLASS II
%       conceptual clustering system finds 3 classes in the data.
% 
% 4. Relevant Information:
%    --- This is perhaps the best known database to be found in the pattern
%        recognition literature.  Fisher's paper is a classic in the field
%        and is referenced frequently to this day.  (See Duda & Hart, for
%        example.)  The data set contains 3 classes of 50 instances each,
%        where each class refers to a type of iris plant.  One class is
%        linearly separable from the other 2; the latter are NOT linearly
%        separable from each other.
%    --- Predicted attribute: class of iris plant.
%    --- This is an exceedingly simple domain.
% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 4 numeric, predictive attributes and the class
% 
% 7. Attribute Information:
%    1. sepal length in cm
%    2. sepal width in cm
%    3. petal length in cm
%    4. petal width in cm
%    5. class: 
%       -- Iris Setosa
%       -- Iris Versicolour
%       -- Iris Virginica
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
%  	           Min  Max   Mean    SD   Class Correlation
%    sepal length: 4.3  7.9   5.84  0.83    0.7826   
%     sepal width: 2.0  4.4   3.05  0.43   -0.4194
%    petal length: 1.0  6.9   3.76  1.76    0.9490  (high!)
%     petal width: 0.1  2.5   1.20  0.76    0.9565  (high!)
% 
% 9. Class Distribution: 33.3% for each of 3 classes.

@RELATION jk

@ATTRIBUTE P_value	REAL
@ATTRIBUTE S_entropy    REAL
@ATTRIBUTE F3   REAL
@ATTRIBUTE class 	{'coding','non_coding'}

@DATA
1.94583,2.61051,0.01622,'coding'
1.30516,2.91809,0.01226,'non_coding'
7.04483,2.97754,0.04120,'coding'
17.57869,2.65571,0.04357,'coding'
0.26399,1.00000,0.09049,'non_coding'
2.84799,3.15787,0.03130,'coding'
0.38889,2.94770,0.01296,'coding'
2.37867,2.82189,0.03806,'coding'
3.77119,2.57314,0.03196,'coding'
9.77540,2.31234,0.05859,'non_coding'
4.35168,2.67742,0.03992,'coding'
1.46883,2.55773,0.02388,'coding'
0.20237,1.58496,0.04977,'coding'
13.99790,2.37126,0.04416,'coding'
17.19139,2.59953,0.04397,'coding'
6.86240,2.62349,0.03990,'coding'
10.89130,3.01905,0.03643,'coding'
2.73016,2.39430,0.03250,'coding'
3.02876,2.96933,0.03075,'coding'
5.14779,2.35879,0.03332,'coding'
1.30403,2.62060,0.01433,'coding'
0.09950,2.72193,0.00297,'non_coding'
3.36364,2.87625,0.03058,'coding'
0.65079,2.28104,0.02066,'coding'
5.75000,3.06148,0.07770,'coding'
1.16522,2.88955,0.02026,'coding'
4.98885,2.57362,0.03709,'coding'
10.47881,2.89794,0.04440,'coding'
3.57212,2.97271,0.03435,'coding'
8.40021,2.42522,0.05185,'coding'
16.98756,2.26938,0.06675,'coding'
1.30627,0.91830,0.04907,'coding'
0.39996,0.91830,0.03733,'coding'
0.66670,1.58496,0.03093,'coding'
1.08982,1.58496,0.06720,'coding'
0.76858,2.00000,0.05481,'coding'
0.87813,1.58496,0.07253,'coding'
1.02834,1.58496,0.05787,'coding'
0.66941,0.91830,0.03840,'coding'
1.04445,2.52164,0.06636,'non_coding'
15.90259,3.08464,0.08527,'coding'
53.42174,2.50310,0.05916,'coding'
9.29395,2.60043,0.05357,'coding'
4.32886,2.81104,0.05811,'coding'
3.85816,2.26381,0.08209,'coding'
0.55524,0.91830,0.04408,'non_coding'
0.85686,0.91830,0.08320,'coding'
0.64619,2.75000,0.01609,'non_coding'
3.09859,2.39631,0.04364,'coding'
6.61183,3.01269,0.04266,'coding'
9.80906,2.36047,0.04762,'coding'
9.46396,2.54999,0.05116,'coding'
8.50340,2.39780,0.03471,'coding'
9.18999,2.77792,0.03728,'coding'
0.43933,2.75161,0.01301,'non_coding'
5.08681,2.84458,0.03533,'coding'
2.25466,2.84020,0.02801,'coding'
5.07136,2.89147,0.02974,'coding'
2.88745,2.89270,0.03750,'coding'
12.51016,2.75735,0.03465,'coding'
1.05376,2.00000,0.06798,'non_coding'
3.74917,2.73957,0.07424,'coding'
4.34667,2.78990,0.08693,'coding'
2.47302,2.65656,0.04711,'coding'
9.07534,2.66513,0.06216,'coding'
2.30733,2.77450,0.03273,'coding'
5.45989,2.91880,0.03702,'coding'
10.16554,2.58320,0.04569,'coding'
0.20290,1.58496,0.01764,'non_coding'
18.76717,2.91289,0.04715,'coding'
6.32858,2.72129,0.03606,'coding'
0.63528,1.00000,0.10611,'non_coding'
12.11379,2.71948,0.03901,'coding'
12.00423,2.78752,0.03805,'coding'
3.04846,2.85178,0.02686,'coding'
11.48958,2.97072,0.03264,'coding'
2.82731,2.94812,0.03406,'coding'
7.88534,2.78993,0.05592,'coding'
2.77778,2.85712,0.02315,'coding'
3.33638,2.85091,0.03047,'coding'
12.23829,2.30987,0.04915,'coding'
10.47204,2.64170,0.03445,'coding'
7.71141,2.79769,0.03450,'coding'
5.93964,2.61400,0.04889,'coding'
7.24409,3.12149,0.03315,'coding'
14.35610,3.01606,0.04357,'coding'
1.94144,1.58496,0.12980,'non_coding'
0.42217,1.58496,0.02662,'coding'
0.45618,2.89709,0.00305,'non_coding'
1.21333,1.58496,0.09707,'coding'
0.84166,1.58496,0.09722,'coding'
3.31128,3.01193,0.02577,'coding'
1.86735,2.06404,0.03811,'coding'
12.11204,3.00991,0.06729,'coding'
4.72137,2.98892,0.02066,'coding'
0.70899,2.25163,0.04471,'non_coding'
27.23368,2.38284,0.07111,'coding'
2.66908,2.52612,0.03868,'coding'
1.53846,1.37095,0.07890,'non_coding'
2.85770,2.63830,0.03342,'coding'
0.45631,2.86659,0.01043,'non_coding'
5.58333,2.97056,0.03323,'coding'
0.85507,0.91830,0.07435,'non_coding'
0.68343,1.58496,0.03413,'coding'
0.81111,2.00000,0.05407,'non_coding'
3.54113,2.41309,0.09198,'coding'
17.97524,2.94813,0.04109,'coding'
5.64155,3.05235,0.03864,'coding'
6.30643,3.08195,0.04426,'coding'
0.44879,1.92193,0.02862,'non_coding'
10.43265,2.93091,0.07146,'coding'
2.83752,2.99880,0.02852,'coding'
10.29630,2.94370,0.07381,'coding'
15.71963,3.03602,0.03965,'coding'
2.59195,3.05748,0.04469,'coding'
3.12082,2.80852,0.02726,'coding'
0.56250,1.50000,0.03516,'coding'
5.74487,2.97569,0.03369,'coding'
4.68734,2.72058,0.07267,'coding'
7.14342,3.03500,0.04239,'coding'
16.18923,2.94106,0.07070,'coding'
24.14199,2.93313,0.12541,'coding'
1.24356,2.52206,0.02777,'non_coding'
9.47197,2.30810,0.05793,'coding'
7.86815,2.73470,0.04383,'coding'
15.33751,3.07919,0.06404,'coding'
0.78849,1.50000,0.04847,'non_coding'
3.32470,2.40831,0.03445,'coding'
19.44387,2.56019,0.04005,'coding'
13.60194,2.77331,0.03773,'coding'
2.85845,3.00081,0.02610,'coding'
7.18296,3.10500,0.05401,'coding'
0.57536,1.58496,0.09833,'non_coding'
16.50269,2.92908,0.05926,'coding'
0.49779,2.41938,0.01852,'non_coding'
0.46128,1.58496,0.05671,'coding'
0.84440,2.00000,0.04507,'coding'
0.53333,1.58496,0.04267,'coding'
0.38667,0.91830,0.03093,'coding'
0.42529,1.50000,0.02933,'coding'
6.06790,2.73644,0.07491,'coding'
2.47724,2.62500,0.04970,'non_coding'
6.56680,2.81828,0.02714,'coding'
0.93141,2.48171,0.02402,'non_coding'
1.13784,3.05030,0.01711,'coding'
8.42529,2.98001,0.04842,'coding'
5.09814,2.99680,0.05176,'coding'
3.14118,2.35539,0.07391,'coding'
1.18667,1.58496,0.09493,'coding'
0.40803,1.58496,0.02142,'non_coding'
2.68642,2.48548,0.03980,'coding'
2.06579,2.11808,0.05436,'coding'
2.93409,2.76173,0.03315,'coding'
0.79753,2.32193,0.02586,'non_coding'
8.47971,2.83102,0.03687,'coding'
6.28513,2.91528,0.01715,'non_coding'
10.33243,2.81679,0.05600,'coding'
5.57453,2.89106,0.04532,'coding'
11.92096,2.86367,0.04383,'coding'
3.35731,2.82821,0.04831,'coding'
22.63263,2.80434,0.05024,'coding'
0.82969,1.00000,0.10896,'non_coding'
3.36054,2.75621,0.02743,'coding'
11.25863,2.47348,0.04761,'coding'
0.38229,2.25163,0.04838,'non_coding'
7.88406,2.92327,0.04285,'coding'
4.41538,2.92585,0.06793,'coding'
0.28333,1.79248,0.01417,'non_coding'
11.43036,2.67168,0.06588,'coding'
27.84639,2.76878,0.05666,'coding'
0.91534,2.32193,0.02614,'non_coding'
14.24299,2.72044,0.08874,'coding'
13.54773,2.77359,0.06577,'coding'
14.98619,2.72888,0.08868,'coding'
4.04612,2.91265,0.02545,'coding'
6.28119,3.02556,0.03509,'coding'
6.63346,2.24574,0.04896,'coding'
0.31746,1.79248,0.01512,'non_coding'
25.24944,2.64079,0.08473,'coding'
0.59909,1.50000,0.04994,'non_coding'
6.94332,2.74098,0.03525,'coding'
27.22241,2.96989,0.04622,'coding'
4.59611,2.83484,0.02237,'coding'
39.08513,2.80265,0.06482,'coding'
0.88596,1.37095,0.04663,'non_coding'
5.64064,3.06758,0.04194,'coding'
2.28155,2.99076,0.02215,'coding'
61.16199,2.59253,0.10730,'coding'
0.63333,1.58496,0.06333,'non_coding'
5.13712,3.05102,0.03643,'coding'
0.39683,1.58496,0.03779,'non_coding'
8.06757,2.65252,0.03634,'coding'
4.01902,2.70885,0.02697,'coding'
2.17297,2.69584,0.01175,'coding'
19.78111,2.85526,0.06594,'coding'
7.32622,3.06198,0.05214,'coding'
1.98773,2.34436,0.02439,'coding'
0.62654,2.52164,0.03333,'non_coding'
4.95006,2.80796,0.03450,'coding'
0.56291,0.91830,0.05923,'non_coding'
0.77471,2.00000,0.05481,'coding'
0.72612,2.00000,0.03646,'coding'
0.88013,0.91830,0.08696,'non_coding'
31.41185,2.48229,0.07115,'coding'
1.22051,2.19716,0.03755,'coding'
0.34896,2.05881,0.01090,'non_coding'
0.85262,2.00000,0.02976,'coding'
0.64951,1.58496,0.02133,'coding'
0.93488,1.58496,0.04053,'coding'
0.30612,1.58496,0.01920,'coding'
1.21333,1.58496,0.09707,'coding'
0.16146,1.58496,0.03200,'coding'
0.89333,1.58496,0.07147,'coding'
12.64311,2.84346,0.04468,'coding'
6.61550,2.64524,0.05803,'coding'
0.25617,2.82218,0.00308,'coding'
2.20392,2.81533,0.02292,'coding'
3.02614,2.90165,0.02373,'coding'
10.42723,2.35463,0.05874,'coding'
0.53086,2.40564,0.01966,'coding'
10.10586,2.57364,0.06828,'coding'
7.37546,2.95330,0.05484,'coding'
33.62880,2.97049,0.08885,'coding'
14.59465,2.97958,0.06501,'coding'
7.35780,2.63720,0.06750,'coding'
3.23161,3.00695,0.03034,'coding'
7.76389,2.88551,0.06470,'coding'
9.34848,3.13473,0.09443,'coding'
19.03739,2.78462,0.04544,'coding'
5.71875,3.04952,0.05957,'coding'
1.48198,2.84535,0.04005,'coding'
0.43009,1.00000,0.11080,'non_coding'
5.96101,2.99131,0.03486,'coding'
0.15086,1.37095,0.02160,'non_coding'
9.97148,2.95952,0.04876,'coding'
3.50600,2.70370,0.05045,'coding'
43.19119,2.85213,0.06796,'coding'
0.92565,2.75000,0.04137,'non_coding'
11.78886,2.83363,0.06914,'coding'
0.30986,2.72193,0.00873,'non_coding'
5.87220,2.73169,0.02633,'coding'
3.87179,2.57700,0.04964,'coding'
3.10288,2.38521,0.03831,'coding'
28.88012,2.89351,0.04467,'coding'
40.63599,2.82124,0.05843,'coding'
0.72222,2.00000,0.04815,'non_coding'
3.78895,2.69469,0.04484,'coding'
0.32405,0.91830,0.03748,'non_coding'
5.06340,2.85383,0.02918,'coding'
4.37226,2.30751,0.03191,'coding'
15.59338,2.75174,0.03481,'coding'
2.69860,3.04888,0.03232,'coding'
3.82938,2.83972,0.03630,'coding'
1.16948,1.58496,0.07467,'coding'
13.25800,3.06809,0.08209,'coding'
1.10224,2.00000,0.07372,'coding'
0.51781,2.70453,0.01164,'non_coding'
4.89173,2.96721,0.02502,'coding'
5.46154,2.67320,0.03501,'coding'
0.15447,1.00000,0.00554,'non_coding'
0.79582,2.00000,0.03567,'coding'
0.40519,0.91830,0.03254,'non_coding'
2.58074,2.85407,0.02294,'coding'
5.41622,2.96731,0.05855,'coding'
2.95409,2.72229,0.03538,'coding'
1.89697,2.52440,0.03449,'coding'
0.99599,2.52164,0.02832,'non_coding'
4.72947,2.02322,0.06854,'coding'
25.27925,2.65078,0.07071,'coding'
0.77192,2.23593,0.05049,'non_coding'
7.43535,2.98970,0.05292,'coding'
16.19289,2.56668,0.08220,'coding'
0.36111,2.32193,0.02006,'non_coding'
2.72857,2.32193,0.07796,'coding'
0.63492,0.91830,0.06047,'non_coding'
1.89906,2.84916,0.02675,'coding'
5.40777,2.96001,0.05250,'coding'
6.48052,3.01895,0.04208,'coding'
7.17718,2.95625,0.03484,'coding'
0.36667,2.25163,0.01833,'non_coding'
4.93047,2.95499,0.06050,'coding'
12.96477,2.52494,0.21081,'coding'
2.01149,2.15564,0.06936,'coding'
2.65918,2.66123,0.05976,'coding'
0.45682,1.58496,0.04837,'non_coding'
4.72000,2.75573,0.04196,'coding'
7.48611,2.95821,0.04799,'coding'
17.36178,3.07004,0.05198,'coding'
8.44363,3.17821,0.06209,'coding'
10.45593,2.42485,0.06356,'coding'
16.34648,2.80893,0.05859,'coding'
0.63768,1.58496,0.05545,'non_coding'
3.91742,3.01987,0.02367,'coding'
7.92205,3.11183,0.04875,'coding'
9.62781,2.77408,0.04989,'coding'
9.88298,3.05153,0.07009,'coding'
4.54721,3.10361,0.03104,'coding'
10.18643,3.09141,0.03606,'coding'
